Hisse;Kapanis;Sinyal;Trend;Rejim;Basari_Orani;Hedef_Bant;Stop_Bant;Fibo_D1;Fibo_D2;Fibo_D3;Fibo_R1;Fibo_R2;Fibo_R3;Sentez_Puani;Risk_Odul
CCOLA;22.10;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%51;22.17;22.01;21.33;20.20;18.60;22.46;23.85;26.11;105.0;0.87
GUBRF;236.60;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%36;237.33;235.40;235.11;231.59;228.75;240.80;247.36;255.69;105.0;0.61
KUYAS;7.60;AL (ZAYIF);YÜKSELİŞ;DÜZELTME;%60;7.63;7.59;7.42;7.22;6.93;7.62;7.87;8.27;105.0;3.0
MAVI;12.76;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%42;12.91;12.61;12.60;12.28;11.86;12.83;13.06;13.34;105.0;0.99
TOASO;163.50;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%51;165.40;162.18;162.18;158.19;151.73;165.40;168.63;173.22;105.0;1.44
ULKER;29.69;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%41;29.81;29.55;28.65;;;29.85;30.79;31.45;105.0;0.86
ALARK;56.86;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%42;57.73;55.64;55.64;53.05;48.87;57.73;59.82;62.80;95.0;0.72
CIMSA;11.47;SAT;DÜŞÜŞ;COŞKULU RALLİ;%33;12.18;11.46;11.46;10.31;8.98;12.18;12.75;13.33;95.0;58.5
EKGYO;6.29;SAT;DÜŞÜŞ;COŞKULU RALLİ;%40;6.30;6.04;6.04;5.86;5.68;6.30;6.63;;95.0;0.04
ISMEN;8.98;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%38;9.17;8.90;8.88;8.37;;9.28;9.57;9.85;95.0;2.24
KRDMD;16.42;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%34;16.66;15.80;15.80;14.72;12.99;16.66;17.53;18.76;95.0;0.38
SASA;5.76;SAT;DÜŞÜŞ;COŞKULU RALLİ;%36;5.94;5.71;5.71;5.53;5.41;5.94;;;95.0;4.06
TUKAS;1.30;SAT;DÜŞÜŞ;COŞKULU RALLİ;%22;1.32;1.09;1.09;0.83;0.49;1.32;1.46;1.58;95.0;0.12
HALKB;11.45;AL (ZAYIF);YÜKSELİŞ;PANİK/SESSİZ;%37;11.49;11.40;11.40;11.29;11.14;11.51;11.64;11.85;85.0;0.8
KCHOL;69.28;AL (ZAYIF);YÜKSELİŞ;VOLATİLİTE;%38;69.92;68.36;68.63;;;74.03;78.26;81.24;85.0;0.7
MAGEN;4.17;SAT;DÜŞÜŞ;GÜÇLÜ YÜKSELİŞ;%53;4.19;4.08;4.08;3.90;3.70;4.19;4.27;4.36;85.0;0.23
